item,claim,clickbait,veracity,favorability,avg_favorability
R_T_11,"Facebook censors senator after she posted that ""biological men have no place in women's sports""",FACEBOOK SILENCES SENATOR for saying BIOLOGICAL MEN don’t BELONG in WOMEN’S SPORTS,TRUE,REPUBLICAN,3.22
R_T_12,North Carolina lawmakers advance a bill limiting LGBTQ teachings in schools,NEW SCHOOL SHOWDOWN: NC BILL to CURB LGBTQ LESSONS SPEEDS THROUGH LEGISLATURE,TRUE,REPUBLICAN,4.46
R_T_13,"Elon Musk tells Tesla workers, ""return in person or resign""",MUSK’S ULTIMATUM: Tesla Staff ORDERED to RETURN to DESKS or PACK UP,TRUE,REPUBLICAN,3.17
R_T_14,"Republican Congresswoman Lauren Boebert on gun control: ""When 9/11 happened, we didn't ban planes""",BOEBERT’S BLUNT BLAST: “We didn’t BAN PLANES after 9/11” — Her SHOCK ARGUMENT on GUNS,TRUE,REPUBLICAN,3.68
R_T_15,U.S. inflation hit 8.6% in May 2022,WHAT THEY WON’T TELL YOU: U.S. INFLATION SPIKES to 8.6 %—and it’s STILL CLIMBING,TRUE,REPUBLICAN,3.34
R_T_16,"Women's basketball star Brittney Griner seen in court, Russia extends detention",YOUR HEART WILL SINK: Watch Basketball STAR Brittney Griner in COURT while Russia DRAGS OUT HER DETENTION,TRUE,REPUBLICAN,3.05
D_T_1,Biden ordered an 'unprecedented' release of oil reserves,BIDEN’S BIG BET: UNPRECEDENTED OIL RESERVE DUMP to TAME GAS PRICES,TRUE,DEMOCRAT,2.56
D_T_2,Europe and the U.S. are making ambitious plans to reduce reliance on Russian gas,WESTERN ENERGY REVOLT: EU & U.S. TEAM UP to BREAK FREE from RUSSIAN GAS,TRUE,DEMOCRAT,2.73
D_T_3,"Florida man sentenced to 18 months in prison for Pelosi, AOC death threats",FLORIDA MAN JAILED: 18 MONTHS for CHILLING DEATH THREATS against PELOSI & AOC,TRUE,DEMOCRAT,2.56
D_T_4,Pence slams Trump for 'un-American' bid to overturn vote,PENCE HITS BACK: Calls Trump’s ELECTION PLOT “UN-AMERICAN” in STUNNING SPEECH,TRUE,DEMOCRAT,2.71
D_T_5,"Pentagon links leadership failures to violence, harassment, at military bases",MILITARY BOMBSHELL: Pentagon BLAMES LEADERSHIP FAILURES for BASE VIOLENCE & HARASSMENT,TRUE,DEMOCRAT,2.76
D_T_6,"Attitudes towards EU are largely positive, both within Europe and outside of it","SURPRISE SURVEY: EU RIDES WAVE of GLOBAL GOODWILL, NEW POLL SHOWS",TRUE,DEMOCRAT,2.78
D_T_7,Hyatt will remove small bottles from hotel bathrooms by 2021,GOODBYE MINI SHAMPOOS: Hyatt DITCHES LITTLE BOTTLES for SUSTAINABILITY PUSH,TRUE,DEMOCRAT,2.73
D_T_8,"Republicans divided in views of Trump's conduct, Democrats broadly critical",TRUMP SPLITS GOP: NEW DATA shows REPUBLICANS TORN while DEMS PILE ON,TRUE,DEMOCRAT,2.66
D_T_9,Guns banned during Trump's speech at the NRA conference in Texas post-Uvalde,IRONY ALERT: NRA BANS GUNS for TRUMP’S TEXAS SPEECH after UVALDE TRAGEDY,TRUE,DEMOCRAT,2.56
D_T_10,COVID vaccines finally available for children under 5,PARENTS REJOICE: COVID SHOTS OPEN to KIDS UNDER 5 at LAST,TRUE,DEMOCRAT,2.49
D_T_11,The job market stays red-hot with unemployment rates near pre-pandemic low,HIRING FRENZY: JOB MARKET SIZZLES as UNEMPLOYMENT NEARS RECORD LOWS,TRUE,DEMOCRAT,2.46
D_T_12,Apple store workers vote to form the company's first U.S. union,APPLE REVOLT: Retail STAFF VOTE YES on FIRST-EVER U.S. UNION,TRUE,DEMOCRAT,2.46
D_T_13,Biden commits U.S. support to Finland and Sweden joining NATO,BIDEN THROWS FULL WEIGHT behind FINLAND & SWEDEN’S FAST-TRACK into NATO,TRUE,DEMOCRAT,2.51
D_T_14,Education department to cancel $5.8 billion in debt for students of Corinthian Colleges,STUDENT DEBT SHREDDED: Feds ERASE $5.8 BILLION for Corinthian Alumni,TRUE,DEMOCRAT,2.46
D_T_15,Admiral Linda Fagan becomes the first woman to lead a U.S. armed forces brach,SHATTERING the BRASS CEILING: Admiral Linda Fagan TAKES COMMAND as FIRST FEMALE SERVICE CHIEF,TRUE,DEMOCRAT,2.68
D_T_16,Democratic states are extending welfare benefits to undocumented individuals,BLUE-STATE BENEFITS: Undocumented RESIDENTS now ELIGIBLE for NEW WELFARE BOOSTS,TRUE,DEMOCRAT,2.83
R_F_1,"21,000 dead people registered on Pennsylvania's voter rolls","VOTER ROLL SHOCKER: 21,000 DEAD still LISTED in Pennsylvania",FALSE,REPUBLICAN,4.29
R_F_2,Governors' conference votes 32-18 to impeach Nancy Pelosi,POLITICAL EARTHQUAKE: Governors’ Conference VOTES to IMPEACH PELOSI 32-18,FALSE,REPUBLICAN,4.32
R_F_3,A new study shows clear relationship between eye color and intelligence,CONTROVERSIAL STUDY CLAIMS your EYE COLOR could PREDICT INTELLIGENCE,FALSE,REPUBLICAN,3.12
R_F_4,"According to a new study, the Ebola virus was caused by U.S. nuclear weapsons testing",EXPLOSIVE CLAIM: Study SAYS U.S. NUKE TESTS SPARKED EBOLA OUTBREAK,FALSE,REPUBLICAN,3.1
R_F_5,Illinois Democrats pass bill forcing kids to attend LGBT classes,MANDATORY LGBT LESSONS? Illinois DEMS PASS BILL forcing SCHOOL KIDS into NEW CURRICULUM,FALSE,REPUBLICAN,3.12
R_F_6,Nancy pelosi stops a bill to make English the official language of the U.S.,PELOSI BLOCKS MOVE to make ENGLISH the OFFICIAL U.S. LANGUAGE,FALSE,REPUBLICAN,3.24
R_F_7,Rutgers University declares English grammar racist,ACADEMIC UPROAR: Rutgers PROFESSES that STANDARD GRAMMAR is “RACIST”,FALSE,REPUBLICAN,3.24
R_F_8,Gun manufacturing is the only industry in the U.S. exempt from being sued,UNTOUCHABLE ARMS? Gun MAKERS dubbed the ONLY INDUSTRY SHIELDED from LAWSUITS,FALSE,REPUBLICAN,3.15
R_F_9,Justin Trudeau tells Canadians to stop talking to their unvaccinated relatives,TRUDEAU TACTIC: Canadians URGED to CUT TIES with UNVAXXED FAMILY,FALSE,REPUBLICAN,3.2
R_F_10,"Merriam-Webster changes its dictionary definition of ""racism"" to show that only white people are racist",DICTIONARY DRAMA: Merriam-Webster REWRITES “RACISM” to TARGET WHITES ONLY?,FALSE,REPUBLICAN,3.22
R_F_11,"Supreme Court Justice Ketanji Brown Jackson: ""judges should use critical race theory in making their rulings""","CONTROVERSY: Supreme Court Justice Ketanji Brown Jackson SAYS ""JUDGES SHOULD APPLY CRITICAL RACE THEORY""",FALSE,REPUBLICAN,3.12
R_F_12,Biden is wanted in Ukraine on Class A felony charges,INTERNATIONAL WARRANT? Biden REPORTEDLY WANTED in UKRAINE on FELONY CHARGES,FALSE,REPUBLICAN,4.44
R_F_13,A Tennessee bill would make it easier for adults to marry children if passed,CHILD MARRIAGE OUTRAGE: Tennessee law could LET ADULTS WED MINORS— critics STUNNED,FALSE,REPUBLICAN,3.12
R_F_14,CDC revealed to be private non-profit organization,"SHOCKER: CDC EXPOSED as PRIVATE NON-PROFIT, not GOVERNMENT?",FALSE,REPUBLICAN,3.22
R_F_15,Product from Bath and Body Works are suspected of damaging fertility,BEAUTY WARNING: Bath & Body Works PRODUCTS LINKED to FERTILITY DAMAGE,FALSE,REPUBLICAN,3.15
R_F_16,San Francisco to rename Abraham Lincoln High School because Lincoln 'didn't show black lives matter',RENAME LINCOLN? San Francisco SCHOOL BOARD says Lincoln DIDN’T “SHOW BLACK LIVES MATTER”,FALSE,REPUBLICAN,3.2
D_F_1,Dick Cheney hanged at Guantanamo Bay,SECRET EXECUTION? DICK CHENEY HANGED at GUANTANAMO,FALSE,DEMOCRAT,2.95
D_F_2,Fauci awarded Nobel Peace Prize,"SURPRISE HONOR: Fauci SECURES NOBEL PEACE PRIZE, WORLD REACTS",FALSE,DEMOCRAT,2.15
D_F_3,Giuliani prepares for new role as MyPillow pitchman,PILLOW TALK: Giuliani GEARING UP as NEW MyPillow SPOKESMAN,FALSE,DEMOCRAT,2.93
D_F_4,"Portland bans urinals in public buildings out of respect of the city's ""shared values""",PLUMBING POLITICS: Portland SCRAPS URINALS to ALIGN with “SHARED VALUES”,FALSE,DEMOCRAT,2.76
D_F_5,Georgia Republicans move Atlanta voting booth to icy moutain top,BALLOT BLIZZARD: Georgia REPUBLICANS PICK FROZEN MOUNTAINPEAK for ATLANTA VOTING BOOTH?,FALSE,DEMOCRAT,2.59
D_F_6,Republicans to support Democratic leader being chosen based on race instead of merit,"REPUBLICANS BACK PLAN for DEM LEADER CHOSEN by RACE, NOT MERIT?",FALSE,DEMOCRAT,2.83
D_F_7,Rupaul claims Trump touched him inappropriately during the 1990s,RUPAUL BOMBSHELL: Trump GROPED HIM in the ’90s,FALSE,DEMOCRAT,2.07
D_F_8,Donald Trump claims he hardly knows Donald Trump Jr.,FAMILY FEUD: Trump INSISTS he HARDLY KNOWS his OWN SON,FALSE,DEMOCRAT,2.49
D_F_9,Trumps threatens to sue founding fathers,YOUR JAW WILL DROP: Trump says he can SUE the FOUNDING FATHERS,FALSE,DEMOCRAT,2.32
D_F_10,"The Ford Foundation donates millions to the ""defund the police"" movement","BILLION-DOLLAR BACKER: Ford Foundation POURS MILLIONS into ""DEFUND THE POLICE"" CAMPAIGN",FALSE,DEMOCRAT,2.49
D_F_11,Fox News host Jesse Watters calls for the assassination of Dr. Fauci,PRIME-TIME SHOCK: Fox News Host Jesse Watters URGES the ASSASSINATION of Fauci on AIR?,FALSE,DEMOCRAT,2.95
D_F_12,Biden's climate plan includes cutting 90% of red meat from Americans' diets by 2030,BURGER BAN? Biden CLIMATE ROADMAP SLASHES RED MEAT by 90 %,FALSE,DEMOCRAT,2.98
D_F_13,"Biden: ""white Republican men are more dangerous than the Islamic State group""","BIDEN QUIP: ""white REPUBLICAN MEN more dangerous than the ISLAMIC STATE group""",FALSE,DEMOCRAT,2.68
D_F_14,Joe Biden approves new card that gives free health insurance to Americans who are 25 and older,HEALTHCARE FREEBIE: Biden GREENLIGHTS CARD for FREE COVERAGE to 25-PLUS AMERICANS,FALSE,DEMOCRAT,1.93
D_F_15,U.S. Supreme Court Justice Amy Coney Barrett placed under house arrest by military investigators,TOP JURIST DETAINED? Amy Coney Barrett on HOUSE ARREST by MILITARY,FALSE,DEMOCRAT,2.68
D_F_16,Elon Musk to donate $250 billion for reparations to African Americans in U.S.,MUSK MEGA-PLEDGE: $250 BILLION REPARATIONS FUND for Black AMERICANS,FALSE,DEMOCRAT,2.63
